Species,Deploy Date,Capture Depth (fm),Depth Interval,Mortality (0=Dead),Days Held,10-Day Mortality (0 = Dead),Study type,Guild
black rockfish,5/8/2009,7,0-10,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,7.3,0-10,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,8.4,0-10,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,8.7,0-10,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,11.3,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,11,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,11,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,10.5,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,19,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,19.2,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/8/2009,18.6,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,5/8/2009,18.7,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,5/8/2009,20.5,20-30,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,5/8/2009,20.8,20-30,1,1.97,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,5/8/2009,21.3,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,7,0-10,1,1.86,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,6,0-10,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,7.2,0-10,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,7.5,0-10,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,12,20-Oct,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,11.3,20-Oct,1,16.9,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,12.5,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,10.3,20-Oct,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,16.5,20-Oct,1,2.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,17.2,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,17,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,17.5,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,5/17/2009,20.8,20-30,1,1.99,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,5/17/2009,20.5,20-30,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,5/17/2009,20.3,20-30,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,9,0-10,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,8,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,8,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,8,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,12,20-Oct,1,2.09,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,13,20-Oct,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,12.5,20-Oct,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
yelloweye rockfish,6/1/2009,18,20-Oct,1,2.09,NA,Cage Study - Hannah,Deep Demersal
black rockfish,6/1/2009,16,20-Oct,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,16,20-Oct,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,16,20-Oct,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/1/2009,20.2,20-30,1,2.1,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,6/1/2009,20.3,20-30,1,2.1,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,6/1/2009,20.3,20-30,1,2.1,NA,Cage Study - Hannah,Shallow Pelagic
blue deachon rockfish,6/1/2009,12,20-Oct,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,7,0-10,1,2.04,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,5.3,0-10,1,2.05,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,6,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,7.7,0-10,1,2.08,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,10.8,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,11.7,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,7,0-10,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,7,0-10,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,19,20-Oct,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,18.2,20-Oct,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,19.5,20-Oct,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,19,20-Oct,1,1.85,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,24,20-30,1,1.71,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,20.5,20-30,1,1.71,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/3/2009,20.2,20-30,1,1.71,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,7,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,7,0-10,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,6.8,0-10,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,6.7,0-10,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,11.7,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,13,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/5/2009,12.5,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,12.5,20-Oct,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,18,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,17.8,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,17.8,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,18.3,20-Oct,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,20,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/5/2009,21.2,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,7,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,8,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,8.7,0-10,1,2.07,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,8,0-10,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/7/2009,10.3,20-Oct,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/7/2009,10.3,20-Oct,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/7/2009,10.5,20-Oct,1,2.06,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,10.7,20-Oct,1,2.05,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,17,20-Oct,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,18,20-Oct,0,1.9,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,16.5,20-Oct,1,1.84,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,16,20-Oct,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,20,20-Oct,0,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,20.2,20-30,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/7/2009,20,20-Oct,0,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,5.2,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,7.5,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,6,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,6.5,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/9/2009,12,20-Oct,1,2,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,11.8,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/9/2009,11.7,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,6/9/2009,11,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25,20-30,0,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,24.8,20-30,0,1.98,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25.2,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/9/2009,25.2,20-30,0,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,9.2,0-10,1,1.9,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,11.5,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,12.6,20-Oct,1,1.9,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,9.2,0-10,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,17.4,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,19,20-Oct,1,1.91,NA,Cage Study - Hannah,Shallow Pelagic
copper rockfish,9/1/2009,18,20-Oct,1,1.91,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,9/1/2009,17,20-Oct,1,1.9,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,9/1/2009,26.8,20-30,1,1.99,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,9/1/2009,28,20-30,1,1.97,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,9/1/2009,27.9,20-30,1,1.97,NA,Cage Study - Hannah,Shallow Demersal
quillback rockfish,9/1/2009,30,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Demersal
copper rockfish,9/1/2009,23.5,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,9/1/2009,25.9,20-30,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/1/2009,26.9,20-30,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
yelloweye rockfish,9/1/2009,27,20-30,1,1.98,NA,Cage Study - Hannah,Deep Demersal
black rockfish,9/15/2009,11.1,20-Oct,1,2.86,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,11,20-Oct,1,2.86,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,12.7,20-Oct,1,2.87,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,10.4,20-Oct,1,2.87,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,19,20-Oct,1,2.89,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,14.9,20-Oct,0,2.89,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,18.8,20-Oct,1,2.88,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,9/15/2009,18,20-Oct,1,2.9,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,9/15/2009,30.4,30-40,1,2.95,NA,Cage Study - Hannah,Deep Pelagic
blue blue blue deacon rockfish,9/15/2009,29,20-30,0,2.96,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,30.9,30-40,1,2.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,9/15/2009,31.5,30-40,1,2.95,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,9/15/2009,17.8,20-Oct,1,2.92,NA,Cage Study - Hannah,Shallow Pelagic
copper rockfish,9/15/2009,23.4,20-Oct,1,2.91,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,9/15/2009,23.9,20-30,1,2.91,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,9/15/2009,27.1,20-30,1,2.9,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,10/5/2009,10.1,20-Oct,1,1.77,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,10/5/2009,10.4,20-Oct,1,1.76,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,10/5/2009,9.3,0-10,1,1.76,NA,Cage Study - Hannah,Shallow Pelagic
china rockfish,10/5/2009,10.1,20-Oct,1,1.74,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,10/5/2009,18.5,20-Oct,1,1.93,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/5/2009,19.2,20-Oct,1,1.92,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,10/5/2009,19.7,20-Oct,1,1.9,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,10/5/2009,19.6,20-Oct,1,1.9,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,10/5/2009,30.7,30-40,1,2.21,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,10/5/2009,29.9,20-30,1,2.21,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,10/5/2009,27.6,20-30,1,2.21,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,10/5/2009,28.9,20-30,1,2.2,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/5/2009,24.8,20-30,1,2.06,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/5/2009,25.5,20-30,1,2.06,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,10/5/2009,26.9,20-30,1,2.06,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,10/5/2009,24.7,20-30,1,2.05,NA,Cage Study - Hannah,Shallow Demersal
blue blue blue deacon rockfish,10/7/2009,11.9,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,10/7/2009,13.9,20-Oct,1,1.97,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/7/2009,9.8,0-10,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/7/2009,10.9,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/7/2009,16.4,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/7/2009,16.8,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/7/2009,18.1,20-Oct,1,1.95,NA,Cage Study - Hannah,Deep Pelagic
blue blue blue deacon rockfish,10/7/2009,16.5,20-Oct,0,1.95,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/7/2009,29.9,20-30,1,1.87,NA,Cage Study - Hannah,Deep Pelagic
quillback rockfish,10/7/2009,26.8,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,10/7/2009,29.7,20-30,1,1.86,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,10/7/2009,29.1,20-30,1,1.86,NA,Cage Study - Hannah,Deep Pelagic
blue blue blue deacon rockfish,10/7/2009,21.1,20-30,1,2.03,NA,Cage Study - Hannah,Shallow Pelagic
yelloweye rockfish,10/7/2009,19.2,20-Oct,1,2.02,NA,Cage Study - Hannah,Deep Demersal
china rockfish,10/7/2009,21.1,20-30,1,2,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,10/7/2009,20.4,20-30,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/9/2009,12.4,20-Oct,1,1.99,NA,Cage Study - Hannah,Deep Pelagic
blue blue blue deacon rockfish,10/9/2009,12.9,20-Oct,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/9/2009,12.7,20-Oct,1,1.96,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/9/2009,15.8,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/9/2009,16.1,20-Oct,1,1.93,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,10/9/2009,19.8,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,10/9/2009,20.1,20-30,0,1.92,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,10/9/2009,16.2,20-Oct,0,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,10/9/2009,15,20-Oct,1,1.89,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/9/2009,23,20-30,1,1.88,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,10/9/2009,20.6,20-30,1,1.88,NA,Cage Study - Hannah,Shallow Pelagic
copper rockfish,10/9/2009,20.9,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,10/9/2009,29.2,20-30,1,1.85,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,10/9/2009,23.4,20-30,1,1.85,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,10/9/2009,27.8,20-30,1,1.84,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,10/9/2009,25.8,20-30,1,1.83,NA,Cage Study - Hannah,Deep Demersal
blue blue blue deacon rockfish,11/2/2009,12.2,20-Oct,1,1.99,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,11/2/2009,11.3,20-Oct,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic
blue blue blue deacon rockfish,11/2/2009,11.5,20-Oct,1,1.98,NA,Cage Study - Hannah,Shallow Pelagic
blue blue deacon rockfish,11/2/2009,14.5,20-Oct,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,11/2/2009,16.5,20-Oct,1,1.94,NA,Cage Study - Hannah,Deep Pelagic
blue blue deacon rockfish,11/2/2009,16.2,20-Oct,1,1.9,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,11/2/2009,17,20-Oct,1,1.89,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,11/2/2009,16.6,20-Oct,1,1.89,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,11/2/2009,23.5,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,11/2/2009,23.3,20-30,1,1.87,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,11/2/2009,23.5,20-30,1,1.86,NA,Cage Study - Hannah,Shallow Pelagic
blue blue deacon rockfish,11/2/2009,23.6,20-30,1,1.84,NA,Cage Study - Hannah,Shallow Pelagic
copper rockfish,11/2/2009,28.7,20-30,1,1.86,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,11/2/2009,28.2,20-30,1,1.84,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,11/2/2009,28.7,20-30,1,1.83,NA,Cage Study - Hannah,Deep Demersal
canary rockfish,11/2/2009,29.6,20-30,1,1.83,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,6/22/2010,13.5,20-Oct,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,12.9,20-Oct,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,12.6,20-Oct,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,12.2,20-Oct,1,1.81,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,17.4,20-Oct,1,1.82,NA,Cage Study - Hannah,Shallow Pelagic
blue blue deacon rockfish,6/22/2010,19,20-Oct,1,1.81,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,18.2,20-Oct,0,1.81,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,18.7,20-Oct,1,1.8,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,6/22/2010,24.4,20-30,1,1.92,NA,Cage Study - Hannah,Shallow Demersal
quillback rockfish,6/22/2010,24.8,20-30,1,1.91,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,6/22/2010,24.8,20-30,1,1.9,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,6/22/2010,24.7,20-30,1,1.9,NA,Cage Study - Hannah,Shallow Demersal
blue blue deacon rockfish,6/22/2010,29.2,20-30,0,1.89,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/22/2010,27.1,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic
blue blue deacon rockfish,6/22/2010,25.2,20-30,1,1.87,NA,Cage Study - Hannah,Shallow Pelagic
blue blue deacon rockfish,6/22/2010,27.3,20-30,0,1.85,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,14.1,20-Oct,1,1.93,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,13.7,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,13.9,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,13.1,20-Oct,1,1.92,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,15,20-Oct,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,15.3,20-Oct,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,6/29/2010,16.5,20-Oct,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
blue blue deacon rockfish,6/29/2010,18.4,20-Oct,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
copper rockfish,6/29/2010,22,20-30,1,2.01,NA,Cage Study - Hannah,Shallow Demersal
blue blue deacon rockfish,6/29/2010,22.2,20-30,1,2.01,NA,Cage Study - Hannah,Shallow Pelagic
yelloweye rockfish,6/29/2010,22.4,20-30,1,2,NA,Cage Study - Hannah,Deep Demersal
blue blue deacon rockfish,6/29/2010,21.3,20-30,0,2,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,6/29/2010,26.2,20-30,1,2.04,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,6/29/2010,25.2,20-30,1,2.04,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,6/29/2010,27.3,20-30,1,2.03,NA,Cage Study - Hannah,Deep Pelagic
black rockfish,6/29/2010,28.9,20-30,1,2.03,NA,Cage Study - Hannah,Shallow Pelagic
quillback rockfish,7/27/2010,16,20-Oct,1,1.95,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,7/27/2010,17,20-Oct,1,1.94,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,7/27/2010,17.8,20-Oct,1,1.93,NA,Cage Study - Hannah,Deep Pelagic
yelloweye rockfish,7/27/2010,12.7,20-Oct,1,1.93,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,7/27/2010,18.2,20-Oct,1,1.9,NA,Cage Study - Hannah,Shallow Demersal
blue blue deacon rockfish,7/27/2010,24.7,20-30,1,1.89,NA,Cage Study - Hannah,Shallow Pelagic
yelloweye rockfish,7/27/2010,24.2,20-30,1,1.88,NA,Cage Study - Hannah,Deep Demersal
yelloweye rockfish,7/27/2010,24.2,20-30,1,1.87,NA,Cage Study - Hannah,Deep Demersal
copper rockfish,7/27/2010,24.2,20-30,1,1.85,NA,Cage Study - Hannah,Shallow Demersal
quillback rockfish,7/27/2010,24.8,20-30,1,1.84,NA,Cage Study - Hannah,Shallow Demersal
quillback rockfish,7/27/2010,27.7,20-30,1,1.83,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,7/27/2010,27.1,20-30,1,1.83,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,7/27/2010,27,20-30,1,1.79,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,7/27/2010,26.5,20-30,1,1.78,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,8/11/2010,19.6,20-Oct,1,1.87,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,8/11/2010,19.6,20-Oct,1,1.87,NA,Cage Study - Hannah,Deep Pelagic
copper rockfish,8/11/2010,18.8,20-Oct,1,1.86,NA,Cage Study - Hannah,Shallow Demersal
china rockfish,8/11/2010,18.6,20-Oct,1,1.85,NA,Cage Study - Hannah,Shallow Demersal
yelloweye rockfish,8/11/2010,14.7,20-Oct,1,1.83,NA,Cage Study - Hannah,Deep Demersal
blue blue deacon rockfish,8/11/2010,24.5,20-30,0,1.92,NA,Cage Study - Hannah,Shallow Pelagic
yelloweye rockfish,8/11/2010,22.8,20-30,1,1.92,NA,Cage Study - Hannah,Deep Demersal
quillback rockfish,8/11/2010,23.7,20-30,1,1.92,NA,Cage Study - Hannah,Shallow Demersal
copper rockfish,8/11/2010,24,20-30,1,1.91,NA,Cage Study - Hannah,Shallow Demersal
quillback rockfish,8/11/2010,23.7,20-30,1,1.9,NA,Cage Study - Hannah,Shallow Demersal
canary rockfish,8/11/2010,28,20-30,1,1.96,NA,Cage Study - Hannah,Deep Pelagic
quillback rockfish,8/11/2010,28.5,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Demersal
black rockfish,8/11/2010,27.7,20-30,1,1.94,NA,Cage Study - Hannah,Shallow Pelagic
black rockfish,8/11/2010,28.3,20-30,1,1.95,NA,Cage Study - Hannah,Shallow Pelagic
canary rockfish,8/11/2010,28.6,20-30,1,1.93,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2010,19,20-Oct,1,1.86,NA,Cage Study - Hannah,Deep Pelagic
canary rockfish,9/13/2010,18.7,20-Oct,1,1.84,NA,Cage Study - Hannah,Deep Pelagic
